state,resorts_per_state,state_total_skiable_area_ac,state_total_days_open,state_total_terrain_parks,state_total_nightskiing_ac
Alaska,3,2280.0,345.0,4.0,580.0
Arizona,2,1577.0,237.0,6.0,80.0
California,16,18578.0,2323.0,67.0,587.0
Colorado,19,40663.0,2810.0,71.0,428.0
Connecticut,5,358.0,353.0,10.0,256.0
Idaho,7,11094.0,764.0,21.0,250.0
Illinois,4,191.0,221.0,6.0,191.0
Indiana,2,165.0,157.0,4.0,165.0
Iowa,3,140.0,100.0,5.0,140.0
Maine,7,3204.0,798.0,17.0,388.0
Maryland,1,172.0,121.0,3.0,118.0
Massachusetts,11,1166.0,671.0,18.0,583.0
Michigan,26,3721.0,2206.0,58.0,1946.0
Minnesota,14,1560.0,1490.0,29.0,1020.0
Missouri,2,60.0,69.0,2.0,47.0
Montana,7,17385.0,741.0,23.0,710.0
Nevada,4,2110.0,415.0,9.0,0.0
New Hampshire,16,3427.0,1847.0,43.0,376.0
New Jersey,2,190.0,170.0,4.0,181.0
New Mexico,7,4414.0,726.0,15.0,50.0
New York,32,5429.0,2384.0,70.0,2763.0
North Carolina,6,370.0,506.0,9.0,335.0
Ohio,5,421.0,489.0,12.0,421.0
Oregon,3,5833.0,313.0,7.0,317.0
Pennsylvania,18,1888.0,1404.0,46.0,1528.0
Rhode Island,1,30.0,100.0,1.0,30.0
South Dakota,2,950.0,183.0,3.0,0.0
Utah,9,18430.0,1116.0,20.0,340.0
Vermont,15,7239.0,1777.0,50.0,50.0
Virginia,4,269.0,366.0,4.0,135.0
Washington,4,7996.0,372.0,11.0,1131.0
West Virginia,4,542.0,342.0,9.0,187.0
Wisconsin,15,1750.0,1519.0,40.0,1065.0
Wyoming,5,3251.0,564.0,12.0,110.0
